#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_XXmm_SINGLE_LAYER"
5.324724317E-01 9.144000411E-01 -2.723562904E-02
5.324684978E-01 9.144000411E-01 -2.729150094E-02
5.324645638E-01 9.144000411E-01 -2.734737098E-02
5.324606299E-01 9.144000411E-01 -2.740324102E-02
5.324567556E-01 9.144000411E-01 -2.745911106E-02
5.324528217E-01 9.144000411E-01 -2.751498111E-02
5.324488878E-01 9.144000411E-01 -2.757085115E-02
5.324450135E-01 9.144000411E-01 -2.762672305E-02
5.324410796E-01 9.144000411E-01 -2.768259309E-02
5.324372053E-01 9.144000411E-01 -2.773846313E-02
5.324332714E-01 9.144000411E-01 -2.779433504E-02
5.324293971E-01 9.144000411E-01 -2.785020508E-02
5.324254632E-01 9.144000411E-01 -2.790607512E-02
5.324215889E-01 9.144000411E-01 -2.796194516E-02
5.324176550E-01 9.144000411E-01 -2.801781707E-02
5.324137807E-01 9.144000411E-01 -2.807368711E-02
5.324098468E-01 9.144000411E-01 -2.812955715E-02
5.324059725E-01 9.144000411E-01 -2.818542905E-02
5.324020386E-01 9.144000411E-01 -2.824129909E-02
5.323981047E-01 9.144000411E-01 -2.829716913E-02
5.323942304E-01 9.144000411E-01 -2.835304104E-02
5.323902965E-01 9.144000411E-01 -2.840891108E-02
5.323864818E-01 9.144000411E-01 -2.846478298E-02
5.323824883E-01 9.144000411E-01 -2.852065302E-02
5.323786139E-01 9.144000411E-01 -2.857652307E-02
5.321987271E-01 9.144000411E-01 -2.858904563E-02
5.320187807E-01 9.144000411E-01 -2.860157005E-02
5.317309499E-01 9.144000411E-01 -2.862154134E-02
